,,,,MSC25:MEF75/MSC75:MEF25,MSC50:MEF50/MSC75:MEF25,MSC25:MEF75/MSC50:MEF50,,,,,,
Collagen biosynthesis and modifying enzymes (R-HSA-1650814),10,+,1.46E-01,1.01E+00,1.42E+00,9.88E-01,,,,,,
Cellular responses to stress (R-HSA-2262752),10,-,1.53E-01,1.04E+00,1.37E+00,1.03E+00,,,,,,
Cellular responses to external stimuli (R-HSA-8953897),10,-,1.53E-01,1.03E+00,8.68E-01,1.04E+00,,,,,,
Collagen degradation (R-HSA-1442490),10,+,2.27E-01,1.00E+00,8.65E-01,9.85E-01,,,,,,
Assembly of collagen fibrils and other multimeric structures (R-HSA-2022090),9,+,4.25E-01,7.88E-01,9.53E-01,1.08E+00,,,,,,
Non-integrin membrane-ECM interactions (R-HSA-3000171),9,+,4.39E-01,8.04E-01,8.91E-01,1.00E+00,,,,,,
"Cell Cycle, Mitotic (R-HSA-69278)",9,-,4.98E-01,8.44E-01,7.65E-01,2.42E+00,,,,,,
ER to Golgi Anterograde Transport (R-HSA-199977),9,+,6.53E-01,9.32E-01,7.79E-01,2.26E+00,,,,,,
Transport to the Golgi and subsequent modification (R-HSA-948021),9,+,6.53E-01,9.30E-01,7.85E-01,9.64E-01,,,,,,
GPCR downstream signalling (R-HSA-388396),9,-,8.00E-01,9.23E-01,7.83E-01,1.21E+00,,,,,,
Signaling by GPCR (R-HSA-372790),9,-,8.00E-01,9.21E-01,8.84E-01,9.95E-01,,,,,,
Diseases of signal transduction (R-HSA-5663202),9,+,9.06E-01,9.64E-01,8.83E-01,1.00E+00,,,,,,
Collagen chain trimerization (R-HSA-8948216),8,+,7.43E-02,1.25E+00,1.11E+00,9.51E-01,,,,,,
COPI-mediated anterograde transport (R-HSA-6807878),8,+,3.56E-01,7.09E-01,1.04E+00,9.92E-01,,,,,,
Infectious disease (R-HSA-5663205),8,+,4.85E-01,8.31E-01,8.93E-01,1.05E+00,,,,,,
M Phase (R-HSA-68886),8,-,5.04E-01,8.51E-01,6.66E-01,1.00E+00,,,,,,
Signaling by MET (R-HSA-6806834),8,+,6.14E-01,9.19E-01,8.67E-01,1.02E+00,,,,,,
Signaling by ROBO receptors (R-HSA-376176),8,+,8.63E-01,9.45E-01,8.73E-01,5.02E+00,,,,,,
MAPK family signaling cascades (R-HSA-5683057),8,-,9.05E-01,9.64E-01,9.85E-01,1.45E+00,,,,,,
NCAM signaling for neurite out-growth (R-HSA-375165),7,+,2.98E-02,1.54E+00,1.98E+00,1.10E+00,,,,,,
Metabolism of vitamins and cofactors (R-HSA-196854),7,+,1.32E-01,1.22E+00,1.23E+00,9.79E-01,,,,,,
tRNA Aminoacylation (R-HSA-379724),7,+,2.63E-01,9.16E-01,1.00E+00,1.01E+00,,,,,,
Transcriptional Regulation by TP53 (R-HSA-3700989),7,-,2.85E-01,9.14E-01,9.92E-01,1.13E+00,,,,,,
MET activates PTK2 signaling (R-HSA-8874081),7,+,3.07E-01,6.67E-01,8.86E-01,1.57E+00,,,,,,
MET promotes cell motility (R-HSA-8875878),7,+,3.07E-01,6.64E-01,8.68E-01,1.04E+00,,,,,,
Cell-Cell communication (R-HSA-1500931),7,-,4.92E-01,8.37E-01,6.69E-01,9.34E-01,,,,,,
Unfolded Protein Response (UPR) (R-HSA-381119),7,+,5.57E-01,8.84E-01,6.80E-01,1.04E+00,,,,,,
G alpha (i) signalling events (R-HSA-418594),7,-,6.40E-01,9.25E-01,7.83E-01,2.49E+00,,,,,,
Binding and Uptake of Ligands by Scavenger Receptors (R-HSA-2173782),7,-,7.24E-01,9.35E-01,8.83E-01,2.05E+00,,,,,,
Clathrin-mediated endocytosis (R-HSA-8856828),7,-,7.77E-01,9.29E-01,9.19E-01,1.00E+00,,,,,,
RAF/MAP kinase cascade (R-HSA-5673001),7,-,7.84E-01,9.31E-01,9.22E-01,1.64E+00,,,,,,
MAPK1/MAPK3 signaling (R-HSA-5684996),7,-,7.84E-01,9.29E-01,9.20E-01,1.13E+00,,,,,,
Class I MHC mediated antigen processing & presentation (R-HSA-983169),7,+,9.88E-01,1.00E+00,9.58E-01,1.02E+00,,,,,,
"Plasma lipoprotein assembly, remodeling, and clearance (R-HSA-174824)",6,-,1.02E-01,1.37E+00,1.35E+00,1.05E+00,,,,,,
trans-Golgi Network Vesicle Budding (R-HSA-199992),6,+,1.62E-01,1.05E+00,9.66E-01,9.86E-01,,,,,,
Golgi Associated Vesicle Biogenesis (R-HSA-432722),6,+,1.62E-01,1.04E+00,6.59E-01,9.98E-01,,,,,,
Clathrin derived vesicle budding (R-HSA-421837),6,+,1.62E-01,1.03E+00,7.45E-01,1.05E+00,,,,,,
Interferon Signaling (R-HSA-913531),6,+,1.98E-01,9.61E-01,7.53E-01,9.47E-01,,,,,,
The citric acid (TCA) cycle and respiratory electron transport (R-HSA-1428517),6,+,2.70E-01,9.15E-01,7.51E-01,1.05E+00,,,,,,
L1CAM interactions (R-HSA-373760),6,+,2.87E-01,9.17E-01,7.58E-01,1.00E+00,,,,,,
Fatty acid metabolism (R-HSA-8978868),6,+,4.08E-01,7.67E-01,7.77E-01,9.99E-01,,,,,,
Oncogenic MAPK signaling (R-HSA-6802957),6,+,5.43E-01,8.76E-01,7.75E-01,1.00E+00,,,,,,
Signaling by BRAF and RAF fusions (R-HSA-6802952),6,+,5.43E-01,8.74E-01,7.73E-01,9.84E-01,,,,,,
Cytosolic tRNA aminoacylation (R-HSA-379716),6,+,5.56E-01,8.83E-01,7.82E-01,1.08E+00,,,,,,
Syndecan interactions (R-HSA-3000170),6,+,6.28E-01,9.32E-01,8.36E-01,1.04E+00,,,,,,
Cell surface interactions at the vascular wall (R-HSA-202733),6,-,6.31E-01,9.27E-01,8.28E-01,9.98E-01,,,,,,
Caspase-mediated cleavage of cytoskeletal proteins (R-HSA-264870),6,+,6.35E-01,9.22E-01,9.27E-01,1.10E+00,,,,,,
Smooth Muscle Contraction (R-HSA-445355),6,-,7.39E-01,9.34E-01,9.41E-01,1.12E+00,,,,,,
RHO GTPases activate PAKs (R-HSA-5627123),6,-,9.58E-01,9.83E-01,9.39E-01,1.04E+00,,,,,,
Mitotic Metaphase and Anaphase (R-HSA-2555396),5,-,2.07E-02,4.63E+00,1.23E+00,1.02E+00,,,,,,
Mitotic Anaphase (R-HSA-68882),5,-,2.07E-02,3.47E+00,9.80E-01,1.00E+00,,,,,,
Cell Cycle Checkpoints (R-HSA-69620),5,-,2.31E-02,2.58E+00,9.69E-01,1.09E+00,,,,,,
Signaling by PDGF (R-HSA-186797),5,+,2.98E-02,1.43E+00,9.58E-01,2.48E+00,,,,,,
Formation of the cornified envelope (R-HSA-6809371),5,+,3.49E-02,1.06E+00,1.01E+00,1.10E+00,,,,,,
Keratinization (R-HSA-6805567),5,+,3.49E-02,1.02E+00,9.53E-01,1.04E+00,,,,,,
Selenoamino acid metabolism (R-HSA-2408522),5,+,1.45E-01,1.01E+00,9.46E-01,1.03E+00,,,,,,
Cargo recognition for clathrin-mediated endocytosis (R-HSA-8856825),5,-,2.65E-01,9.18E-01,9.05E-01,1.09E+00,,,,,,
Intra-Golgi and retrograde Golgi-to-ER traffic (R-HSA-6811442),5,-,3.20E-01,6.82E-01,8.73E-01,1.03E+00,,,,,,
Intracellular signaling by second messengers (R-HSA-9006925),5,-,3.54E-01,7.08E-01,7.03E-01,2.35E+00,,,,,,
Regulation of mRNA stability by proteins that bind AU-rich elements (R-HSA-450531),5,-,4.93E-01,8.37E-01,7.23E-01,1.00E+00,,,,,,
Interleukin-4 and Interleukin-13 signaling (R-HSA-6785807),5,-,5.26E-01,8.61E-01,7.46E-01,1.01E+00,,,,,,
Glucose metabolism (R-HSA-70326),5,+,6.07E-01,9.22E-01,7.71E-01,1.00E+00,,,,,,
Gluconeogenesis (R-HSA-70263),5,+,6.07E-01,9.20E-01,7.69E-01,9.85E-01,,,,,,
Regulation of expression of SLITs and ROBOs (R-HSA-9010553),5,-,6.44E-01,9.22E-01,7.80E-01,9.85E-01,,,,,,
Eukaryotic Translation Initiation (R-HSA-72613),5,-,7.40E-01,9.30E-01,8.60E-01,2.22E+00,,,,,,
Cap-dependent Translation Initiation (R-HSA-72737),5,-,7.40E-01,9.29E-01,9.29E-01,1.03E+00,,,,,,
GTP hydrolysis and joining of the 60S ribosomal subunit (R-HSA-72706),5,-,7.40E-01,9.27E-01,9.28E-01,1.00E+00,,,,,,
Antigen processing-Cross presentation (R-HSA-1236975),5,-,7.72E-01,9.30E-01,9.31E-01,9.60E-01,,,,,,
ER-Phagosome pathway (R-HSA-1236974),5,-,7.72E-01,9.29E-01,9.29E-01,9.80E-01,,,,,,
XBP1(S) activates chaperone genes (R-HSA-381038),5,+,7.92E-01,9.17E-01,9.43E-01,9.76E-01,,,,,,
IRE1alpha activates chaperones (R-HSA-381070),5,+,7.92E-01,9.15E-01,9.42E-01,3.08E+00,,,,,,
Scavenging by Class A Receptors (R-HSA-3000480),5,-,8.90E-01,9.65E-01,9.80E-01,1.01E+00,,,,,,
NCAM1 interactions (R-HSA-419037),4,+,2.27E-02,3.05E+00,2.32E+00,1.11E+00,,,,,,
Separation of Sister Chromatids (R-HSA-2467813),4,-,2.64E-02,1.48E+00,2.14E+00,9.67E-01,,,,,,
Signaling by the B Cell Receptor (BCR) (R-HSA-983705),4,-,3.20E-02,1.34E+00,1.99E+00,1.08E+00,,,,,,
G2/M Transition (R-HSA-69275),4,-,1.17E-01,1.34E+00,1.46E+00,1.03E+00,,,,,,
Mitotic G2-G2/M phases (R-HSA-453274),4,-,1.17E-01,1.31E+00,1.41E+00,1.00E+00,,,,,,
AUF1 (hnRNP D0) binds and destabilizes mRNA (R-HSA-450408),4,-,1.93E-01,9.44E-01,1.52E+00,1.03E+00,,,,,,
Mitotic Prophase (R-HSA-68875),4,+,2.05E-01,9.62E-01,1.19E+00,1.12E+00,,,,,,
Integration of energy metabolism (R-HSA-163685),4,-,2.24E-01,1.01E+00,9.82E-01,1.24E+00,,,,,,
Metabolism of polyamines (R-HSA-351202),4,-,2.24E-01,1.00E+00,9.67E-01,2.91E+00,,,,,,
Neuronal System (R-HSA-112316),4,-,2.57E-01,1.00E+00,1.02E+00,9.48E-01,,,,,,
Protein-protein interactions at synapses (R-HSA-6794362),4,-,2.57E-01,9.97E-01,9.76E-01,2.73E+00,,,,,,
Neurexins and neuroligins (R-HSA-6794361),4,-,2.57E-01,9.91E-01,9.35E-01,1.06E+00,,,,,,
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell (R-HSA-198933),4,+,2.60E-01,9.84E-01,9.14E-01,9.98E-01,,,,,,
Glycosaminoglycan metabolism (R-HSA-1630316),4,+,3.62E-01,7.15E-01,9.08E-01,9.97E-01,,,,,,
Transcriptional regulation by RUNX1 (R-HSA-8878171),4,-,3.75E-01,7.28E-01,9.03E-01,1.77E+00,,,,,,
N-glycan trimming in the ER and Calnexin/Calreticulin cycle (R-HSA-532668),4,+,4.34E-01,8.00E-01,9.06E-01,9.62E-01,,,,,,
Calnexin/calreticulin cycle (R-HSA-901042),4,+,4.34E-01,7.97E-01,8.94E-01,1.09E+00,,,,,,
Visual phototransduction (R-HSA-2187338),4,+,4.72E-01,8.28E-01,8.98E-01,9.79E-01,,,,,,
Metabolism of fat-soluble vitamins (R-HSA-6806667),4,+,4.72E-01,8.26E-01,6.47E-01,1.22E+00,,,,,,
Retinoid metabolism and transport (R-HSA-975634),4,+,4.72E-01,8.23E-01,7.14E-01,1.09E+00,,,,,,
HIV Infection (R-HSA-162906),4,+,4.83E-01,8.29E-01,7.42E-01,1.06E+00,,,,,,
Rho GTPase cycle (R-HSA-194840),4,+,5.05E-01,8.52E-01,7.50E-01,1.10E+00,,,,,,
Signaling by Hedgehog (R-HSA-5358351),4,-,5.51E-01,8.85E-01,7.78E-01,1.00E+00,,,,,,
L13a-mediated translational silencing of Ceruloplasmin expression (R-HSA-156827),4,-,5.55E-01,8.85E-01,7.82E-01,1.23E+00,,,,,,
Platelet Aggregation (Plug Formation) (R-HSA-76009),4,-,5.75E-01,9.06E-01,7.80E-01,2.66E+00,,,,,,
Cell junction organization (R-HSA-446728),4,-,5.91E-01,9.12E-01,7.78E-01,1.00E+00,,,,,,
Mitochondrial Fatty Acid Beta-Oxidation (R-HSA-77289),4,+,5.99E-01,9.18E-01,8.17E-01,1.01E+00,,,,,,
Transcriptional regulation by RUNX2 (R-HSA-8878166),4,-,6.36E-01,9.22E-01,8.28E-01,1.03E+00,,,,,,
Antigen processing: Ubiquitination & Proteasome degradation (R-HSA-983168),4,-,7.04E-01,9.41E-01,8.56E-01,9.98E-01,,,,,,
Pyruvate metabolism and Citric Acid (TCA) cycle (R-HSA-71406),4,+,7.79E-01,9.29E-01,9.04E-01,1.02E+00,,,,,,
Interleukin-12 family signaling (R-HSA-447115),4,+,8.02E-01,9.21E-01,9.10E-01,1.21E+00,,,,,,
Striated Muscle Contraction (R-HSA-390522),4,+,8.70E-01,9.46E-01,9.25E-01,9.96E-01,,,,,,
Semaphorin interactions (R-HSA-373755),4,-,8.93E-01,9.59E-01,9.32E-01,9.97E-01,,,,,,
RHO GTPases Activate Formins (R-HSA-5663220),4,-,9.49E-01,9.79E-01,9.42E-01,9.97E-01,,,,,,
Deubiquitination (R-HSA-5688426),4,+,9.72E-01,9.91E-01,9.49E-01,1.04E+00,,,,,,
Interferon gamma signaling (R-HSA-877300),3,+,1.96E-02,6.57E+00,4.51E+00,1.01E+00,,,,,,
Plasma lipoprotein clearance (R-HSA-8964043),3,-,3.42E-02,1.09E+00,3.74E+00,9.91E-01,,,,,,
Regulation of actin dynamics for phagocytic cup formation (R-HSA-2029482),3,+,4.03E-02,1.04E+00,3.11E+00,2.13E+00,,,,,,
Fcgamma receptor (FCGR) dependent phagocytosis (R-HSA-2029480),3,+,4.03E-02,1.00E+00,1.48E+00,2.03E+00,,,,,,
Amyloid fiber formation (R-HSA-977225),3,+,6.96E-02,1.34E+00,1.40E+00,1.01E+00,,,,,,
Deadenylation of mRNA (R-HSA-429947),3,-,7.95E-02,1.30E+00,1.40E+00,9.87E-01,,,,,,
Deadenylation-dependent mRNA decay (R-HSA-429914),3,-,7.95E-02,1.27E+00,1.44E+00,1.00E+00,,,,,,
Organelle biogenesis and maintenance (R-HSA-1852241),3,-,1.09E-01,1.40E+00,1.54E+00,9.94E-01,,,,,,
MHC class II antigen presentation (R-HSA-2132295),3,-,1.10E-01,1.37E+00,1.50E+00,1.00E+00,,,,,,
Disorders of transmembrane transporters (R-HSA-5619115),3,-,1.38E-01,1.14E+00,1.10E+00,9.91E-01,,,,,,
Metabolism of water-soluble vitamins and cofactors (R-HSA-196849),3,+,1.38E-01,1.13E+00,1.04E+00,1.01E+00,,,,,,
Neurodegenerative Diseases (R-HSA-8863678),3,-,1.61E-01,1.06E+00,9.93E-01,1.05E+00,,,,,,
Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models (R-HSA-8862803),3,-,1.61E-01,1.05E+00,9.83E-01,2.70E+00,,,,,,
Beta oxidation of palmitoyl-CoA to myristoyl-CoA (R-HSA-77305),3,+,1.63E-01,1.02E+00,9.66E-01,9.98E-01,,,,,,
mitochondrial fatty acid beta-oxidation of saturated fatty acids (R-HSA-77286),3,+,1.63E-01,1.01E+00,9.78E-01,1.02E+00,,,,,,
Apoptotic cleavage of cell adhesion  proteins (R-HSA-351906),3,-,2.00E-01,9.47E-01,1.01E+00,1.03E+00,,,,,,
Mitotic Prometaphase (R-HSA-68877),3,-,2.15E-01,9.88E-01,1.02E+00,1.10E+00,,,,,,
G2/M Checkpoints (R-HSA-69481),3,-,2.25E-01,1.00E+00,9.93E-01,1.00E+00,,,,,,
Major pathway of rRNA processing in the nucleolus and cytosol (R-HSA-6791226),3,+,2.75E-01,9.28E-01,9.85E-01,1.00E+00,,,,,,
rRNA processing (R-HSA-72312),3,+,2.75E-01,9.23E-01,9.77E-01,9.95E-01,,,,,,
rRNA processing in the nucleus and cytosol (R-HSA-8868773),3,+,2.75E-01,9.19E-01,9.25E-01,9.61E-01,,,,,,
Influenza Life Cycle (R-HSA-168255),3,+,2.81E-01,9.29E-01,9.38E-01,9.88E-01,,,,,,
Influenza Infection (R-HSA-168254),3,+,2.81E-01,9.25E-01,9.51E-01,1.05E+00,,,,,,
Platelet homeostasis (R-HSA-418346),3,-,3.09E-01,6.65E-01,9.06E-01,1.01E+00,,,,,,
Hedgehog 'off' state (R-HSA-5610787),3,-,3.22E-01,6.67E-01,8.99E-01,1.00E+00,,,,,,
Toll-Like Receptors Cascades (R-HSA-168898),3,-,3.29E-01,6.77E-01,8.94E-01,9.93E-01,,,,,,
Cell-extracellular matrix interactions (R-HSA-446353),3,-,3.46E-01,6.95E-01,8.89E-01,1.01E+00,,,,,,
Neddylation (R-HSA-8951664),3,-,3.96E-01,7.58E-01,8.74E-01,9.99E-01,,,,,,
"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins. (R-HSA-163200)",3,+,4.43E-01,8.04E-01,8.70E-01,9.98E-01,,,,,,
Respiratory electron transport (R-HSA-611105),3,+,4.43E-01,8.01E-01,8.71E-01,1.01E+00,,,,,,
SeMet incorporation into proteins (R-HSA-2408517),3,+,4.51E-01,8.12E-01,8.64E-01,9.88E-01,,,,,,
UCH proteinases (R-HSA-5689603),3,-,4.59E-01,8.07E-01,8.69E-01,1.07E+00,,,,,,
SUMO E3 ligases SUMOylate target proteins (R-HSA-3108232),3,-,4.76E-01,8.27E-01,8.65E-01,1.07E+00,,,,,,
SUMOylation (R-HSA-2990846),3,-,4.76E-01,8.25E-01,6.52E-01,1.09E+00,,,,,,
Interaction between L1 and Ankyrins (R-HSA-445095),3,+,4.80E-01,8.26E-01,6.50E-01,1.04E+00,,,,,,
Laminin interactions (R-HSA-3000157),3,+,5.06E-01,8.50E-01,6.58E-01,9.91E-01,,,,,,
Regulation of RUNX2 expression and activity (R-HSA-8939902),3,-,5.10E-01,8.56E-01,6.56E-01,9.70E-01,,,,,,
Signaling by NOTCH (R-HSA-157118),3,-,5.10E-01,8.53E-01,6.66E-01,1.09E+00,,,,,,
SRP-dependent cotranslational protein targeting to membrane (R-HSA-1799339),3,+,5.32E-01,8.64E-01,7.14E-01,1.09E+00,,,,,,
MAPK6/MAPK4 signaling (R-HSA-5687128),3,-,5.41E-01,8.75E-01,7.03E-01,1.09E+00,,,,,,
TP53 Regulates Metabolic Genes (R-HSA-5628897),3,-,5.54E-01,8.86E-01,7.01E-01,9.84E-01,,,,,,
GP1b-IX-V activation signalling (R-HSA-430116),3,-,5.86E-01,9.11E-01,7.00E-01,1.05E+00,,,,,,
Hedgehog ligand biogenesis (R-HSA-5358346),3,-,5.91E-01,9.10E-01,7.16E-01,1.80E+00,,,,,,
Antiviral mechanism by IFN-stimulated genes (R-HSA-1169410),3,-,6.15E-01,9.19E-01,7.14E-01,1.01E+00,,,,,,
ISG15 antiviral mechanism (R-HSA-1169408),3,-,6.15E-01,9.17E-01,7.73E-01,1.03E+00,,,,,,
RHO GTPases activate CIT (R-HSA-5625900),3,-,6.34E-01,9.29E-01,7.81E-01,9.80E-01,,,,,,
RHO GTPases Activate ROCKs (R-HSA-5627117),3,-,6.34E-01,9.27E-01,7.88E-01,1.13E+00,,,,,,
RHO GTPases activate PKNs (R-HSA-5625740),3,-,6.34E-01,9.25E-01,7.86E-01,1.12E+00,,,,,,
"Antigen Presentation: Folding, assembly and peptide loading of class I MHC (R-HSA-983170)",3,+,6.43E-01,9.23E-01,7.80E-01,1.02E+00,,,,,,
Nephrin family interactions (R-HSA-373753),3,-,6.63E-01,9.21E-01,8.35E-01,1.11E+00,,,,,,
DNA Repair (R-HSA-73894),3,-,6.68E-01,9.18E-01,8.33E-01,1.10E+00,,,,,,
Nonhomologous End-Joining (NHEJ) (R-HSA-5693571),3,-,6.68E-01,9.16E-01,8.34E-01,9.91E-01,,,,,,
DNA Double-Strand Break Repair (R-HSA-5693532),3,-,6.68E-01,9.15E-01,8.32E-01,9.99E-01,,,,,,
COPII-mediated vesicle transport (R-HSA-204005),3,+,7.03E-01,9.47E-01,8.31E-01,1.58E+00,,,,,,
p75 NTR receptor-mediated signalling (R-HSA-193704),3,-,7.08E-01,9.44E-01,8.26E-01,1.10E+00,,,,,,
Death Receptor Signalling (R-HSA-73887),3,-,7.08E-01,9.42E-01,8.31E-01,1.05E+00,,,,,,
Detoxification of Reactive Oxygen Species (R-HSA-3299685),3,-,7.74E-01,9.29E-01,8.29E-01,1.02E+00,,,,,,
Biological oxidations (R-HSA-211859),3,+,7.79E-01,9.30E-01,8.85E-01,1.01E+00,,,,,,
PIP3 activates AKT signaling (R-HSA-1257604),3,-,8.05E-01,9.20E-01,8.70E-01,9.83E-01,,,,,,
PTEN Regulation (R-HSA-6807070),3,-,8.05E-01,9.19E-01,8.62E-01,1.10E+00,,,,,,
Nonsense-Mediated Decay (NMD) (R-HSA-927802),3,+,8.10E-01,9.19E-01,8.60E-01,1.05E+00,,,,,,
Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC) (R-HSA-975957),3,+,8.10E-01,9.17E-01,8.59E-01,1.01E+00,,,,,,
Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC) (R-HSA-975956),3,+,8.10E-01,9.15E-01,8.63E-01,9.75E-01,,,,,,
Signaling by EGFR (R-HSA-177929),3,-,8.69E-01,9.49E-01,9.10E-01,9.20E-01,,,,,,
Diseases of glycosylation (R-HSA-3781865),3,+,8.69E-01,9.48E-01,9.22E-01,9.87E-01,,,,,,
Diseases associated with glycosaminoglycan metabolism (R-HSA-3560782),3,+,8.69E-01,9.46E-01,9.27E-01,9.35E-01,,,,,,
Plasma lipoprotein assembly (R-HSA-8963898),3,-,8.95E-01,9.60E-01,9.30E-01,9.37E-01,,,,,,
ABC-family proteins mediated transport (R-HSA-382556),3,-,9.01E-01,9.64E-01,9.31E-01,9.84E-01,,,,,,
Interleukin-12 signaling (R-HSA-9020591),3,+,9.11E-01,9.64E-01,9.57E-01,9.81E-01,,,,,,
